"Read Details","Lees details"
Delete,Verwijderen
"Are you sure?","Weet u het zeker?"
Save,Opslaan
"Edit Design Change","Ontwerpverandering bewerken"
"New Store Design Change","Nieuwe Winkel Ontwerp Wijziging"
"General Settings","Algemene instellingen"
Store,Winkel
"-- Please Select --","-- Selecteer --"
"Custom Design","Eigen ontwerp"
"Date From","Datum vanaf"
"Date To","Datum tot"
"Design Change",Ontwerpverandering
General,Algemeen
Cancel,Annuleer
"Delete %1 '%2'","Verwijderen %1 '%2'"
"Delete %1","Verwijder %1"
"Block Information","Blok informatie"
"Backup Options",Backup-opties
"Create DB Backup","DB-backup aanmaken"
Yes,Ja
No,Nee
"Delete Store","Winkel verwijderen"
"Delete Web Site","Verwijder website"
"Save Web Site","Website opslaan"
"Save Store","Winkel opslaan"
"Save Store View","Winkelaanzicht opslaan"
"Delete Store View","Winkelaanzicht verwijderen"
"Edit Web Site","Bewerk Website"
"New Web Site","Nieuwe Website"
"Edit Store","Winkel bewerken"
"New Store","Nieuwe winkel"
"Edit Store View","Winkelaanzicht bewerken"
"New Store View","Nieuw winkelaanzicht"
"Store Information",Winkelinformatie
"Web Site",Website
Name,Naam
"Root Category","Hoofd-categorie (root)"
"Default Store View","Standaard winkelaanzicht"
"Store View Information",Winkelaanzichtgegevens
Disabled,Uitgeschakeld
Enabled,Ingeschakeld
"Sort Order",Sorteervolgorde
"Web Site Information",Websitegegevens
"Default Store","Standaard Winkel"
"Set as Default","Instellen als standaard"
Stores,Winkels
"Create Website","Website aanmaken"
"Create Store","Winkel aanmaken"
"Create Store View","Winkelaanzicht aanmaken"
"Are you sure you want to do this?","Weet u zeker dat u dit wilt doen?"
"Add New Image","Nieuwe afbeelding toevoegen"
"Export block for grid %1 is not defined","Export blok voor tabel %1 niet is gedefinieerd"
"Reset Filter","Reset filter"
Search,Zoek
Any,Elke
"All Countries","Alle landen"
From,Van
To,Aan
"Date selector",Datumkiezer
"[ deleted ]","[ verwijderd ]"
"Select All","Alles selecteren"
"We couldn't find any records.","Geen record(s) gevonden."
"Add New","Voeg nieuwe toe"
"Invalid export type supplied for grid export block","Ongeldig export type opgegeven voor export rasterblok"
"Please correct the column format and try again.","Corrigeer de kolomindeling en probeer het opnieuw."
"Please select items.","Selecteer artikelen."
Submit,Bevestig
"Unknown block type","Onbekend bloktype"
"Please correct the tab configuration and try again. Tab Id should be not empty","Corrigeer het tabblad configuratie en probeer het opnieuw. Tab ID mag niet leeg zijn"
"Please correct the tab configuration and try again.","Corrigeer de tab configuratie en probeer het opnieuw."
"You have logged out.","U bent afgemeld."
"Specified cache type(s) don't exist: %1","De gespecificeerde cache type(s) bestaan niet: %1"
"The image cache was cleaned.","Het afbeelding-cachegeheugen werd opgeschoond."
"An error occurred while clearing the image cache.","Er is een fout opgetreden bij het vernieuwen van de afbeeldingen cache."
"The JavaScript/CSS cache has been cleaned.","Het JavaScript/CSS cachegeheugen werd opgeschoond."
"An error occurred while clearing the JavaScript/CSS cache.","Er is een fout opgetreden bij het vernieuwen van de JavaScript / CSS cache."
"The static files cache has been cleaned.","De statische bestanden cache is opgeschoond."
"You flushed the cache storage.","U heeft de cache-opslag geleegd."
"The Magento cache storage has been flushed.","De Magento-cacheopslag is leeg gemaakt."
"%1 cache type(s) disabled.","%1 cache type(s) uitgeschakeld."
"An error occurred while disabling cache.","Er is een fout opgetreden tijdens het uitschakelen van de cache."
"%1 cache type(s) enabled.","%1 cache type(s) geactiveerd."
"An error occurred while enabling cache.","Er is een fout opgetreden tijdens het inschakelen van de cache."
"%1 cache type(s) refreshed.","%1 cache type(s) vernieuwd."
"An error occurred while refreshing cache.","Er is een fout opgetreden bij het vernieuwen van de cache."
"We updated lifetime statistic.","Alle statistieken zijn bijgewerkt."
"We can't refresh lifetime statistics.","Statistieken bijwerken niet gelukt."
"invalid request","ongeldige aanvraag"
"see error log for details","bekijk het error logboek voor details"
"Service unavailable: %1","Service niet beschikbaar: %1"
Error,Foutmelding
"Access Denied.","Toegang geweigerd."
"You need more permissions to do this.","Moet heeft meer bevoegdheden nodig om dit te doen."
"No search modules were registered","Er zijn geen zoekmodules geregistreerd."
"Please make sure that all global admin search modules are installed and activated.","Zorg er voor dat alle globale admin zoekmodules zijn geÃ¯nstalleerd en geactiveerd."
"You saved the account.","Het account werd opgeslagen."
"An error occurred while saving account.","Er is een fout opgetreden bij het opslaan van dit account"
"You deleted the design change.","U heeft de design wijziging verwijderd."
"You can't delete the design change.","U kunt de ontwerpwijziging niet verwijderen."
"Store Design",Winkelontwerp
"Edit Store Design Change","Bewerk winkelontwerpwijziging"
"You saved the design change.","U heeft de ontwerpwijziging opgeslagen."
System,systeem
"Manage Stores","Beheer Winkels"
"The database was backed up.","De database back-up werd gemaakt."
"We can't create a backup right now. Please try again later.","Wij kunnen de back-up nu niet maken. Probeer later opnieuw."
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products etc.) but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.","Door het verwijderen van een %1 leidt niet tot de verwijdering van de gegevens die eraan gekoppeld zijn (bijv. categorieen, producten etc.) maar de verwijdering van %1 kan niet ongedaan gemaakt worden. Wij adviseren u een back-up te maken van uw database voordat u de verwijdering van %1 uitvoert."
"Something went wrong. Please try again.","Er ging iets mis. Probeer opnieuw."
"This store cannot be deleted.","Deze winkel kan niet worden verwijderd."
"You deleted the store.","De winkel werd verwijderd."
"Unable to delete the store. Please try again later.","Kan winkel niet verwijderen. Probeer later opnieuw."
"This store view cannot be deleted.","Het winkelaanzicht kan niet worden verwijderd."
"Store View",Winkelaanzicht
"You deleted the store view.","Het winkelaanzicht is verwijderd."
"Unable to delete the store view. Please try again later.","Kan winkelaanzicht niet verwijderen. Probeer later opnieuw."
"This website cannot be deleted.","Deze website kan niet worden verwijderd."
"You deleted the website.","U heeft de website verwijderd."
"Unable to delete the website. Please try again later.","Kan website niet verwijderen. Probeer later opnieuw."
"The website does not exist.","De website bestaat niet."
"Before modifying the website code please make sure it is not used in index.php.","Controleer voordat u de websitecode aanpast of het niet gebruikt wordt in index.php."
"The store does not exist","De winkel bestaat niet"
"Store view doesn't exist","Winkelzicht bestaat niet"
"Before modifying the store view code please make sure it is not used in index.php.","Controleer voordat u de winkelaanzichtcode aanpast of deze niet gebruikt wordt in index.php."
"You saved the website.","U heeft de website opgeslagen."
"An inactive store view cannot be saved as default store view","Een inactief Winkelaanzicht kan niet worden opgeslagen als standaard Winkelaanzicht"
"You saved the store.","Winkel opgeslagen."
"The default store cannot be disabled","De standaard winkel kan niet worden uitgeschakeld"
"You saved the store view.","Winkelaanzicht opgeslagen."
"Something went wrong while saving. Please review the error log.","Er ging iets mis tijdens het opslaan. Raadpleeg het error log bestand."
"Last 24 Hours","Laatste 24 uur"
"Last 7 Days","Laatste 7 dagen"
"Current Month","Huidige maand"
"Authentication storage is incorrect.","Authenticatie opslag niet correct."
"You did not sign in correctly or your account is temporarily disabled.","Inloggegevens zijn onjuist of uw account is tijdelijk uitgeschakeld."
"Authentication error occurred.","Authenticatie fout."
"Admin session lifetime must be less than or equal to 31536000 seconds (one year)","Admin-sessielevensduur moet minder of gelijk aan 31536000 seconden (Ã©Ã©n jaar) zijn"
"Admin session lifetime must be greater than or equal to 60 seconds","Admin-sessielevensduur moet groter of gelijk aan 60 seconden zijn"
Order,Bestelling
"Access denied","Toegang geweigerd"
"Please try to sign out and sign in again.","Probeer uit te loggen en weer aan te melden."
"If you continue to receive this message please contact the store owner.","Krijgt u herhaaldelijk deze melding neem dan contact op met de winkeleigenaar."
"You need more permissions to access this.","U heeft meer bevoegdheden nodig om toegang te krijgen."
"Welcome  please sign in",Inloggen
Username,Gebruikersnaam
"user name",gebruikersnaam
Password,Wachtwoord
password,wachtwoord
"Sign in",Inloggen
"Select Range:","Selecteer bereik:"
"No Data Found","Geen gegevens gevonden"
"Chart is disabled. To enable the chart click <a href=""%1"">here</a>.","Grafiek is uitgeschakeld. Om de grafiek in te schakelen klikt u <a href=""%1"">hier</a>."
"Last Orders","Laatste orders"
"Last Search Terms","Laatste zoektermen"
"Top Search Terms","Top zoektermen"
"There are no search keywords.","Er zijn geen zoekwoorden gevonden."
"View Statistics For:","Bekijk statistieken voor:"
"All Websites","Alle Websites"
"Reload Data","Gegevens opnieuw laden"
"Browse Files...","Blader door bestanden..."
"Copyright &copy; %1 Magento Commerce Inc. All rights reserved.","Copyright &copy; %1 Magento Commerce Inc. Alle rechten voorbehouden."
"Account Setting",Accountinstellingen
"Customer View",Overzicht
"Sign Out",Uitloggen
"About the calendar","Over de kalender"
Close,Sluiten
"Go Today","Naar vandaag"
Previous,Vorige
Next,Volgende
Time,Tijd
Hour,Uur
Minute,Minuut
"JavaScript may be disabled in your browser.","JavaScript is mogelijk uitgeschakeld in uw browser."
"To use this website you must first enable JavaScript in your browser.","Om deze website te gebruiken moet u eerst JavaScript inschakelen in uw browser."
"This is only a demo store. You can browse and place orders but nothing will be processed.","Dit is een demo winkel. U kunt de winkel bekijken en bestellingen plaatsen maar niets zal worden verwerkt of verstuurd."
"Report Bugs","Meld fouten"
"Store View:",Winkelaanzicht:
"Stores Configuration","Winkels Configuratie"
"Please confirm scope switching. All data that hasn't been saved will be lost.","Bevestig wijziging toepassing niveau. Alle gegevens die nog niet opgeslagen zijn zullen verloren gaan."
"Additional Cache Management","Additionele cacheopties"
"Flush Catalog Images Cache","Leeg Catalogus Afbeeldingen Cache"
"Pregenerated product images files","Voorgegenereerde productafbeeldingsbestanden"
"Flush JavaScript/CSS Cache","Leeg JavaScript/CSS Cache"
"Themes JavaScript and CSS files combined to one file","De JavaScript- en CSS-bestanden van het thema zijn samengevoegd tot Ã©Ã©n bestand"
"Flush Static Files Cache","Leeg statische bestanden Cache"
"Preprocessed view files and static files","Voorbewerkte weergavebestanden en statische bestanden"
Catalog,Catalogus
"No records found.","Geen records gevonden."
Images,Afbeeldingen
"Big Image","Grote afbeelding"
"Additional Settings","Aanvullende instellingen"
"records found","records gevonden"
selected,geselecteerd
"per page","per pagina"
"Previous page","Vorige pagina"
"of %1","van %1"
"Next page","Volgende pagina's"
"Export to:","Exporteer naar:"
Actions,acties
"Mass Actions","Bulk acties"
"Unselect All","Deselecteer alles"
"Select Visible","Selecteer zichtbare"
"Unselect Visible","Deselecteer zichtbare"
"Changes have been made to this section that have not been saved.""Wijzigingen"," die in deze sectie zijn gemaakt zijn nog niet opgeslagen."
"This tab contains invalid data. Please resolve this before saving.","Dit tabblad bevat ongeldige gegevens; deze moeten voor het opslaan gecorrigeerd worden."
"The information in this tab has been changed.","De informatie in dit tabblad is gewijzigd"
Loading...,"Bezig met laden..."
"System Backup",Systeem-backup
"Database and Media Backup","Database- en mediabackup"
"Database Backup",Databasebackup
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","Dit gecomprimeerde bestand kan worden uitgepakt met <a href=""%1"">%2</a> op Windows systemen."
"You need more permissions to activate maintenance mode right now.","U heeft meer bevoegdheden nodig om de onderhoudsmodus te activeren."
"To create the backup please deselect ""Put store into maintenance mode"" or update your permissions.","Als u een back-up wilt maken deselecteer ""Zet winkel in onderhoudsmodus"" of werk uw bevoegdheden bij."
"Something went wrong while putting your store into maintenance mode.","Winkel kan niet in onderhoudsmodus worden gezet."
"You need more free space to create a backup.","Onvoldoende opslagruimte voor het maken van een back-up."
"You need more permissions to create a backup.","U heeft meer bevoegdheden nodig om een back-up te maken."
"We can't create the backup right now.","We kunnen de back-up nu niet maken."
System,systeem
Tools,Instellingen
"We can't delete one or more backups.","Wij kunnen een of meerdere back-ups niet verwijderen."
"You deleted the selected backup(s).","U heeft de geselecteerde back-up(s) verwijderd."
"Can't load snapshot archive","Kan momentopname (snapshot) niet laden"
"Please correct the password.","Corrigeer het wachtwoord."
"To complete the rollback please deselect ""Put store into maintenance mode"" or update your permissions.","Om de back-up te herstellen selecteer ""Zet winkel in onderhoudsmodus"" of werk uw Rechten bij."
"We can't find the backup file.","Wij kunnen het back-upbestand niet vinden."
"We can't connect to the FTP right now.","Verbinding maken met de FTP is nu niet mogelijk."
"Failed to validate FTP.","Niet gelukt om FTP te valideren."
"You need more permissions to perform a rollback.","U heeft meer bevoegdheden nodig om te kunnen terugdraaien."
"Failed to rollback.","Terugdraaien niet gelukt."
"Database and Media","Database en media"
"System (excluding Media)","Systeem (exclusief media)"
"You created the system backup.","U heeft een systeemback-up gemaakt."
"You created the system backup (excluding media).","Systeemback-up is gemaakt (excl. media)."
"You created the database and media backup.","Database en media back-up aangemaakt."
"You created the database backup.","Database back-up aangemaakt."
"Please correct the order of creation for a new backup.","Corrigeer de volgorde voor het maken van een back-up."
"The backup file does not exist.","Het back-up bestand bestaat niet."
"The backup file path was not specified.","Bestandspad voor back-ups is onbekend."
"The backup file ""%1"" does not exist.","Het back-up bestand ""%1"" bestaat niet."
"Sorry but we cannot read from or write to backup file ""%1"".","We kunnen niet lezen uit of schrijven naar back-up bestand ""%1""."
"The backup file handler was unspecified.","Back-up bestand handler is niet gedefinieerd."
"Something went wrong while writing to the backup file ""%1"".","Er ging iets mis tijdens het schrijven naar het back-up bestand ""%1""."
"We can't save the Cron expression.","We kunnen de Cron opdracht niet opslaan."
"You will lose any data created since the backup was made including admin users customers and orders.","U verliest alle gegevens die aangemaakt of gewijzigd zijn nadat de back-up gemaakt is inclusief gegevens betreffende administratieve gebruikers klanten en bestellingen."
"Are you sure you want to continue?","Weet u zeker dat u door wilt gaan?"
"This may take a few moments.","Dit kan enkele ogenblikken duren."
"Be sure your store is in maintenance mode during backup.","Zorg ervoor dat uw winkel in onderhoudsmodus is tijdens back-up."
"Backup Name","Naam backup"
"Please use only letters (a-z or A-Z) numbers (0-9) or spaces in this field.","Gebruik alleen letters (a-z of A-Z) cijfers (0-9) of spaties in dit veld."
"Maintenance mode",Onderhoudsmodus
"Please put your store into maintenance mode during backup.","Plaats uw winkel in onderhoudsmodus tijdens het maken van de back-up."
Exclude,"Sluit uit"
"Exclude media folder from backup","Sla media-map over bij maken backup"
"Please enter the password to confirm rollback.","Vul uw wachtwoord in om het systeem te herstellen."
"This action cannot be undone.","Deze actie kan niet ongedaan gemaakt worden."
"User Password",Gebruikerswachtwoord
"Please put your store into maintenance mode during rollback processing.","Plaats uw winkel in onderhoudsmodus tijdens terugdraaien van de back-up."
"Use FTP Connection","Gebruik FTP-verbinding"
"FTP credentials","FTP gegevens"
"FTP Host",FTP-host
"FTP Login",FTP-login
"FTP Password","FTP Wachtwoord"
"Magento root directory","Magento root folder"
"Create Backup","Backup maken"
Country,Land
"Allowed Credit Card Types","Toegestane credit card typen"
"Add Rule","Regel toevoegen"
"Sorry but something went wrong","Er ging iets mis"
"We can't initialize checkout.","Wij kunnen de checkout niet initialiseren."
"No authorization transaction to proceed capture.","Geen autorisatietransactie om inningsverzoek verzoek te plaatsen."
"Braintree error response.","Braintree foutreactie."
"Payment method nonce can't be retrieved.","Betaalmethode encryptie kan niet worden opgehaald."
"Wrong transaction status","Verkeerde transactiestatus"
Authorize,Autoriseer
"Authorize and Capture","Authoriseer en Capture"
"--Please Select--","--Maak een keuze--"
"Please agree to all the terms and conditions before placing the order.","Accepteer onze Algemene Voorwaarden voordat u de bestelling plaatst."
"Paypal account",PayPal-account
"Europe bank account","Europese bankrekening"
"Credit card",Creditcard
"Apple pay card","Apple pay kaart"
"Android pay card","Android pay kaart"
"Authorization expired","Autorisatie verlopen"
Authorizing,Autoriseren
Authorized,Geauthoriseerd
"Gateway rejected","Gateway geweigerd"
Failed,Mislukt
Settled,Afgewikkeld
Settling,Afwikkeling
"Submitted for settlement","Ingediend voor afwikkeling"
Voided,"Nietig verklaard"
Unrecognized,"Niet herkend"
"Settlement declined","Afwikkeling afgewezen"
"Settlement pending","Afwikkeling in afwachting"
"Settlement confirmed","Afwikkeling bevestigd"
Sale,Verkoop
Credit,Krediet
"Credit Card Type",Creditcard-maatschappij
"Credit Card Number",Creditcard-nummer
"Please enter valid Credit Card Number","Vul een geldig creditcard-nummer in"
"Expiration Date",Vervaldatum
"Please enter valid Expiration Date","Voer een geldige vervaldatum in"
"Card Verification Number",Verificatienummer
"Please enter valid Card Verification Number","Vul een geldige Creditcard Verificatie Nummer in"
ending,einde
expires,verloopt
"Percent Discount",Kortingspercentage
"-- Select --","-- Selecteer --"
Dynamic,Dynamisch
Fixed,Vast
"Create New Option","Nieuwe optie maken"
"Bundle Items",Bundel-artikelen
"Add Products to Option","Producten toevoegen aan de optie"
Close,Sluiten
"Delete Option","Verwijder optie"
"What are you looking for?","Wat zoekt u?"
SKU,Art.nr.
Price,Prijs
Delete,Verwijder
"Use Default Value","Standaardwaarde gebruiken"
"There is no defined renderer for ""%1"" option type.","Er is geen weergave gedefinieerd voor optietype ""%1""."
"Only implemented for bundle product","Alleen geÃ¯mplementeerd voor bundelproduct"
"Product with specified sku: ""%1"" is not a bundle product","Het product met art.nr: '%1' is geen bundel-product"
"Bundle product could not contain another composite product","Een bundel-product kan geen ander samengesteld product bevatten"
"Id field of product link is required","ID veld van product link is vereist"
"Can not find product link with id ""%1""","Kan de productlink met id: ""%1"" niet vinden"
"Could not save child: ""%1""","Kan kind niet opslaan: ""%1"""
"Product with specified sku: ""%1"" does not contain option: ""%2""","Product met opgegeven art.nr: '%1' bevat geen optie: '%2'"
"Child with specified sku: ""%1"" already assigned to product: ""%2""","Kind met opgegeven art.nr: '%1' is al toegewezen aan product: '%2'"
"Product with specified sku: %1 is not a bundle product","Product met opgegeven art.nr: %1 is geen bundel-product"
"Requested bundle option product doesn't exist","Gevraagde optie voor bundel-product bestaat niet"
"%fieldName is a required field.","%fieldName is een verplicht veld."
"Requested option doesn't exist","Gevraagde optie bestaat niet"
"Cannot delete option with id %1","Kan de optie met id: %1 niet verwijderen"
"Could not save option","De optie kon niet opgeslagen worden"
"Price Range",Prijsrange
"As Low as",Vanaf
Together,Samen
Separately,Apart
"Please specify product option(s).","Geef productoptie(s) op."
"The options you selected are not available.","De opties die u heeft geselecteerd zijn niet beschikbaar."
"The required options you selected are not available.""De vereiste opties"," die u heeft geselecteerd zijn niet beschikbaar."
"Please select all required options.","Selecteer alle vereiste opties."
"We can't add this item to your shopping cart right now.","We kunnen dit product nu niet aan uw winkelwagen toevoegen."
N/A,n.v.t.
Percent,Percentage
"We can't save custom-defined options for bundles with dynamic pricing.","Kan customopties bij bundels met dynamische prijzen niet opslaan."
Cancel,Annuleer
"Add Selected Products","Voeg geselecteerde producten toe"
"Add Option","Voeg optie toe"
"New Option","Nieuwe optie"
"Option Title","Titel optie"
"Default Title",Standaardtitel
"Store View Title","Winkelaanzicht Titel"
"Input Type",Invoertype
"Radio Buttons","Radio buttons"
"Multiple Select","Meervoudige selectie"
Required,Vereist
"Is Default","Is standaard"
Name,Naam
"Default Quantity","Standaard aantal"
"User Defined","Door de gebruiker gedefinieerd"
"Price Type",Prijstype
None,Geen
Quantity:,Aantal:
"Choose a selection...","Kies een optie&hellip;"
"Ship Bundle Items","Bundel-artikelen verzenden"
Position,Positie
"There are no products in this option.","Er zijn geen producten in deze optie."
Default,Standaard
Ordered,Besteld
Invoiced,Gefactureerd
Shipped,Verzonden
Refunded,Teruggestort
Canceled,Geannuleerd
"As low as",Vanaf
"Regular Price","Normale prijs"
From,Van
To,Aan
"Buy %1 with %2 discount each","%1 kopen met %2 korting elk"
"Go back to product details","Ga terug naar Productgegevens"
"Customize and Add to Cart","Aanpassen en aan winkelwagen toevoegen"
"* Required Fields","* Verplichte velden"
"Your Customization","Uw aanpassing"
Availability,Beschikbaarheid
"In stock","Op voorraad"
"Out of stock","Niet op voorraad"
Summary,Samenvatting
Availability:,Beschikbaarheid:
Quantity,Aantal
"Customize %1","%1 aanpassen"
"No options of this product are available.","Er zijn geen opties voor dit product beschikbaar"
"Gift Message","Bericht bij kado"
From:,Van:
To:,Tot:
Message:,Bericht:
"Product Name","Product Naam"
Subtotal,Subtotaal
"Discount Amount",Korting
"Row Total",Rijtotaal
"Qty Invoiced","Gefactureerd aantal"
"Qty Shipped","Verzonden aantal"
Always,Altijd
"After number of attempts to login","Na aantal pogingen om in te loggen"
"Provided form does not exist","Verstrekte formulier bestaat niet"
"Incorrect CAPTCHA","Onjuiste CAPTCHA"
"Incorrect CAPTCHA.","CAPTCHA fout."
"The account is locked. Please wait and try again or contact %1.","Dit account is vergrendeld. Probeer het op een ander moment opnieuw of neem contact op met %1."
"Please enter the letters from the image","Voer de letters van de afbeelding in"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Let op</strong>: Captcha is hoofdletter gevoelig."
"Reload captcha","CAPTCHA herladen"
"Please type the letters below","Type de letter hieronder"
"Entity type model '%1' is not found","Type entiteitsmodel '%1' is niet gevonden"
